"","de","a","ligero","profundo","despierto","despertar","tparadormir","tparadespertar","sueñototal","ciudad"
"156",2019-08-12 23:40:00,2019-08-13,15420,11340,960,1,180,0,26760,"Europe/Madrid"
"157",2019-08-13 21:35:00,2019-08-14,17640,15360,1200,2,300,240,33000,"Europe/Amsterdam"
"158",2019-08-15 22:53:00,2019-08-16,11880,15720,1320,2,0,240,27600,"Europe/Amsterdam"
"159",2019-08-17 20:49:00,2019-08-18,19080,15720,1620,3,360,240,34800,NA
"160",2019-08-19 21:35:00,2019-08-20,15540,10560,960,1,0,0,26100,"Europe/Amsterdam"
"161",2019-08-20 22:40:00,2019-08-21,12420,13080,1740,3,300,300,25500,"Europe/Amsterdam"
"162",2019-08-21 23:26:00,2019-08-22,9900,9660,120,0,0,120,19560,"Europe/Amsterdam"
"163",2019-08-22 21:27:00,2019-08-23,15240,12780,4200,5,0,0,28020,"Europe/Amsterdam"
"164",2019-08-23 22:54:00,2019-08-24,9780,12300,1860,2,360,0,22080,NA
"165",2019-08-24 22:28:00,2019-08-25,14340,12900,1440,2,360,0,27240,NA
"166",2019-08-25 21:44:00,2019-08-26,11340,14940,1320,1,0,780,26280,"Europe/Amsterdam"
"167",2019-08-26 20:54:00,2019-08-27,17220,11460,2760,3,0,180,28680,"Europe/Amsterdam"
"168",2019-08-29 21:41:00,2019-08-30,17399,7740,2101,3,360,300,25139,"Europe/Amsterdam"
"169",2019-08-30 22:23:00,2019-08-31,13380,10920,1740,3,360,0,24300,NA
"170",2019-08-31 22:04:00,2019-09-01,10439,15961,4020,3,1320,1020,26400,"Europe/Amsterdam"
"171",2019-09-01 22:08:00,2019-09-02,12660,10020,1020,1,0,540,22680,"Europe/Amsterdam"
"172",2019-09-02 21:50:00,2019-09-03,12000,13560,660,0,0,660,25560,"Europe/Amsterdam"
"173",2019-09-03 19:22:00,2019-09-04,14520,12000,1320,2,0,360,26520,"Europe/Amsterdam"
"174",2019-09-04 23:27:00,2019-09-05,9840,15180,960,1,0,180,25020,NA
"175",2019-09-05 23:03:00,2019-09-06,14040,12180,3600,4,420,0,26220,NA
"176",2019-09-14 21:44:00,2019-09-15,15660,15900,1020,2,180,0,31560,NA
"177",2019-09-16 00:16:00,2019-09-16,10440,8040,1680,2,360,60,18480,"Europe/Madrid"
"178",2019-09-16 20:42:00,2019-09-17,15780,13800,3840,5,0,120,29580,"Europe/Madrid"
"179",2019-09-17 21:50:00,2019-09-18,13980,15540,420,0,360,60,29520,"Europe/Madrid"
"180",2019-09-18 21:40:00,2019-09-19,9901,12479,4080,2,2580,0,22380,NA
"181",2019-09-19 22:20:00,2019-09-20,13740,10440,2400,2,0,1140,24180,"Europe/Amsterdam"
"182",2019-09-20 20:11:00,2019-09-21,19260,16500,3900,4,360,300,35760,"Europe/Madrid"
"183",2019-09-21 23:05:00,2019-09-22,12300,9420,1440,3,360,0,21720,NA
"184",2019-09-23 20:49:00,2019-09-24,14640,15600,2160,3,660,0,30240,NA
"185",2019-09-24 22:13:00,2019-09-25,9120,10740,4440,6,360,0,19860,"Europe/Amsterdam"
"186",2019-09-25 21:14:00,2019-09-26,14640,12000,2160,0,1740,420,26640,NA
"187",2019-09-26 21:52:00,2019-09-27,13500,9360,1500,2,300,480,22860,NA
"188",2019-09-27 22:21:00,2019-09-28,14460,12060,1320,1,600,180,26520,"Europe/Amsterdam"
"189",2019-09-28 23:14:00,2019-09-29,17160,8220,720,1,120,0,25380,NA
